DESCRIPTION,FA_ACCEPTED_DATE,FA_ANALYST,FA_LOCATION,LOT,MOULD_COMPOUND,PK_PACKAGE_NAME,PLAN_TRANSFER_DAY_TO_FA,PRECEDING_STRESS_OPERATION,PRECEEDING_STRESS,PROD_BASIC_TYPE,PROJ_PROJECT_NAME,PROJ_THEMA2,PROJECT_LINE,QM,STARTING_MONTH,TEMPLATE_NAME,TEST_ALREADY_IN_FA,TEST_LAB_TRACKING_NO,TESTSTATE,WIRE_DIAMETER,WIRE_MATERIAL,PRIORITY,PROJ_ID
"TC2000x IPI, Q006",,,FA-SIN,19924013H16MM,CEL 9240 HF10 AKI2-U,PG-TQFP-144-27,12/5/2022 12:00:00 AM,END,ZZ-SPR,M3994,C40FLA TC36x M3994 PG-TQFP-144-27 New Wire Bond Parameter GCM Qual - MM,NER 2020/21_04474,PQ_OSA,Gui Hay Tat (IFAP BE TS QM RQ 3),2022-12,IPI-Q006,No,SI212613.03,APPLY,25µm,PCC_Cu_4N_25_µm,3,242657
"0h PTA

Refer to attachment for PTA instruction in SI223524.02

Refer to Ave Ball Diameter Info for FA in attachment ""6HUKQ68JH05_SI223524.02_LL_Ball Diameter Datasheet"" in SI223524.02",,,FA SIN_PTA,6HUKQ68JH05 [LL],MC_CEL 9240 HF10 AKI2U,PG-LQFP-64-28,12/5/2022 12:00:00 AM,,REF,S2691,Q22GU06_GU065,S2691R_LQFP64_iPMIC_Qual_LL,PT_OSA,Gui Hay Tat (IFAP BE TS QM RQ 3),2022-12,PTA,No,SI223524.02,PRELIM,30µm,BW_Pd/Cu_3N_30_µm,3,268316
"0hr Q006 IPI + 5pcs ball pull, 5pcs bal shear , 5pcs wedge pull,
pls follow location & fill in the attached excel file for ball pull, shear & wedge pull in the attachment

Pls send sample to SIN FA
Attention to Dan Swee Tong (IFAP FE QM FA PI) ",,,FA-SIN,84PRT223H02 [MM],EME G750 SE,PG-BGA-416-29,12/5/2022 12:00:00 AM,,REF,M4289,C65 TC29x M4289Z BGA416-29 3rd Source Substrate ZDT GCM Qual - MM,NER_2021/22_01606                    ,PQ_OSA,Lam Ying Ying (IFAP BE TS QM RQ 1),2022-12,IPI-Q006,No,SI22411A.02,APPLY,20µm,CU-4N 20µM PD-COATED,3,276179
,12/5/2022 11:02:19 AM,,FA-SIN,6Q152007H01,MC_EME G750 SE,PG-LFBGA-180-1,12/5/2022 12:00:00 AM,SPLIT,PTC,M3995,C40_Fab1_TC356L_ADAS_Q100-006_Lot1,C40FLA Fab1 enabling,58,Lebedev Dmitri (IFAG ATV QM MC P58),2022-12,IPI,YES,SI221911.17,START,20µm,BW_Pd/Cu_4N_20_µm,3,262448
"0hr Q006 IPI + 5pcs ball pull, 5pcs bal shear , 5pcs wedge pull,
pls follow location & fill in the attached excel file for ball pull, shear & wedge pull in the attachment

Pls send sample to SIN FA
Attention to Dan Swee Tong (IFAP FE QM FA PI) ",,,FA-SIN,84PRT223H01 [LL],EME G750 SE,PG-BGA-416-29,12/5/2022 12:00:00 AM,,REF,M4289,C65 TC29x M4289Z BGA416-29 3rd Source Substrate ZDT GCM Qual - LL,NER_2021/22_01606,PQ_OSA,Lam Ying Ying (IFAP BE TS QM RQ 1),2022-12,IPI-Q006,No,SI224112.02,APPLY,20µm,CU-4N 20µM PD-COATED,3,276191
"TC1000 PTA -LL leg
Attention to Dela Cruz Genny (IFAP FE QM FA PI OPS) 

PTA instructions:
External Visual Inspection (EVI): 5 units
SAM (die top, top and bottom die paddle, top and bottom leads, DA and through scan): 15 units
Internal Visual Inspection (IVI): Overview: 3 units and Die abnormality: 3 units (pls check if any lifted, cracked or broken die)
SEM - wire integrity: 3 units (pls check if any lifted, cracked or broken wires)
Small diameter wire pull: 3 units 
Large diameter wire pull: 3 units",,,FA SIN_PTA,VC224478506_44939,EME-7026,PG-TO263-9-1,12/6/2022 12:00:00 AM,SPLIT,TC,L8704,Q22ZY402_CYL197,ALP_ eD2PAK _SiC MOS_ PG-TO263-9-1_ATJ,OSP,Zhu Ye (IFAP BE TS QM RQ 1),2022-12,PTA,No,MT224383.04,READY,,,3,277352
Initial T0 PTA,,,FA SIN_PTA,D_595815,CEL9240HF40M3,PG-VSON-8-3,12/6/2022 12:00:00 AM,,REF,P9952,Q22NJW003_LAF038,ALP_SuperCool_PG-WSON-8-x_ATM,OSP,Ng Jing Wen (IFAP BE TS QM RQ 2),2022-12,PTA,No,,PRELIM,30µm,Au 2N,3,268321
"Cu Wire
Zhang Hai Shu (IFAP FE QM FA PI) <Hai-Shu.Zhang@infineon.com>",,,FA-SIN,ZA205257S05 #19,AMK MC27,PG-LQFP-144-26,12/6/2022 12:00:00 AM,SPLIT,HTSL,M6320,Q22MR|LR02_M6350B_L90FLI-DRS_PG-LQFP-144-26-ATP-Pkgqual_Lot2,package qualification XMC product: ALP_CSS_XMC_Trans_xQFP_FTK_ATP,G3,Ravindran Lakshmy (IFAG CSS QM 2),2022-12,IPI,No,RQ22261S.12,READY,,,3,268694
Initial IPI accoring attached Guideline,,,FA-SIN,3FT8S694H01,XH8484,PG-F2HBGA-436-4,12/7/2022 12:00:00 AM,END,TST,RD436,Q21BR01_ABR093,Qual-Lots,PT_OSA,Bauer Robert Stefan (IFAG QM RQ PM),2022-12,IPI,No,SI22262B.79,APPLY,,,3,251273
"0hr Q006 IPI + 5pcs ball pull, 5pcs bal shear , 5pcs wedge pull,
pls follow location & fill in the attached excel file for ball pull, shear & wedge pull in the attachment

Pls send sample to SIN FA
Attention to Dan Swee Tong (IFAP FE QM FA PI) ",,,FA-SIN,MM,MC_EME G750 SE,PG-FBGA-516-1,12/8/2022 12:00:00 AM,,REF,M3991,C40 TC38x M3991A FBGA516-1 3rd Source Substrate ZDT GCM Qual - MM,NER_2021/22_01606,PQ_OSA,Lam Ying Ying (IFAP BE TS QM RQ 1),2022-12,IPI-Q006,No,SI224118.02,PRELIM,20µm,BW_CuPd_4N_20_µm,3,276213
"TC1000 PTA -HH leg
Attention to Dela Cruz Genny (IFAP FE QM FA PI OPS) 

PTA instructions:
External Visual Inspection (EVI): 5 units
SAM (die top, top and bottom die paddle, top and bottom leads, DA and through scan): 15 units
Internal Visual Inspection (IVI): Overview: 3 units and Die abnormality: 3 units (pls check if any lifted, cracked or broken die)
SEM - wire integrity: 3 units (pls check if any lifted, cracked or broken wires)
Small diameter wire pull: 3 units 
Large diameter wire pull: 3 units",,,FA SIN_PTA,VC224478505_44939,EME-7026,PG-TO263-9-1,12/8/2022 12:00:00 AM,SPLIT,TC,L8704,Q22ZY401_CYL196,ALP_ eD2PAK _SiC MOS_ PG-TO263-9-1_ATJ,OSP,Zhu Ye (IFAP BE TS QM RQ 1),2022-12,PTA,No,MT224382.08,READY,,,3,274663
"belongs together with RQ22261T.28

Zhang Hai Shu (IFAP FE QM FA PI) <Hai-Shu.Zhang@infineon.com>",,,FA-SIN,ZA205257S05 #19,AMK MC27,PG-LQFP-144-26,12/8/2022 12:00:00 AM,T_THB_1000_R1,THB,M6320,Q22MR|LR02_M6350B_L90FLI-DRS_PG-LQFP-144-26-ATP-Pkgqual_Lot2,package qualification XMC product: ALP_CSS_XMC_Trans_xQFP_FTK_ATP,G3,Ravindran Lakshmy (IFAG CSS QM 2),2022-12,IPI,No,RQ22261S.28,PRELIM,,,3,268694
"after PC PTA -MM leg
Attention to Dela Cruz Genny (IFAP FE QM FA PI OPS) 

PTA instructions:
External Visual Inspection (EVI): 5 units
SAM (die top, top and bottom die paddle, top and bottom leads, DA and through scan): 22 units",,,FA SIN_PTA,VC232103510_47164,N/A,PG-TO263-9-1,12/8/2022 12:00:00 AM,SPLIT,PC,L8705,Q22ZY400_CYL195,ALP_ eD2PAK _SiC MOS_ PG-TO263-9-1_ATJ,OSP,Zhu Ye (IFAP BE TS QM RQ 1),2022-12,PTA,No,MT22467C.04,READY,125µm,AL,3,277370
PC PTA (LL) - ship to Dan Swee Tong. WBS: G-3000-37SU0828-00-0-00 ,,,FA SIN_PTA,LL,MC_CEL 9240 HF40M3,PG-TDSON-8-6,12/9/2022 12:00:00 AM,SPLIT,PC,L9192,Q22PP005_LAF059,ALP_SS08_SFET3/5_PG-TDSON-8_ATM,OSP,Too Pei Pei (IFAP BE TS QM RQ 2),2022-12,PTA,No,MT22467K.06,READY,30µm,BW_Au_2N_30_µm,3,272414
PC PTA (HH) - ship to Dan Swee Tong. WBS: G-3000-37SU0828-00-0-00 ,,,FA SIN_PTA,HH,MC_CEL 9240 HF40M3,PG-TDSON-8-6,12/9/2022 12:00:00 AM,SPLIT,PC,L9192,Q22PP007_LAF061,ALP_SS08_SFET3/5_PG-TDSON-8_ATM,OSP,Too Pei Pei (IFAP BE TS QM RQ 2),2022-12,PTA,No,MT22467M.03,READY,30µm,BW_Au_2N_30_µm,3,272418
PC PTA (MM) - ship to Dan Swee Tong. WBS: G-3000-37SU0828-00-0-00 ,,,FA SIN_PTA,MM,MC_CEL 9240 HF40M3,PG-TDSON-8-6,12/9/2022 12:00:00 AM,SPLIT,PC,L9192,Q22PP006_LAF060,ALP_SS08_SFET3/5_PG-TDSON-8_ATM,OSP,Too Pei Pei (IFAP BE TS QM RQ 2),2022-12,PTA,No,MT22467L.03,READY,30µm,BW_Au_2N_30_µm,3,272419
PTA: POST H3TRB 1000H,,,FA SIN_PTA,VE125713.06,MC_KMC 2120 G-7A,PG-SOT223-4-21,12/9/2022 12:00:00 AM,SPLIT,H3TRB,L9075,Q22ZY302_LAF020,ALP_SOT223_Auto_TFME,OSP,Zhu Ye (IFAP BE TS QM RQ 1),2022-12,PTA-Q006,No,MT223598.11,READY,42µm,PCC,3,272444
"PTA for HTSL2000hrs MM leg

To be shipped to FA SIN, attention to Dan Swee Tong (IFAP FE QM FA PI) +65 68664504.
Refer to zero hour FA submission template. 
To use as reference for subsequent same lot stress readout PTA reports.",,,FA SIN_PTA,BS186980H03_MM,CEL 9240 HF10 AK,PG-DSO-8-92,12/10/2022 12:00:00 AM,SPLIT,HTSL,M2919,Q22TSK60_LAF004,ALP_TH-X_M2919_PG-DSO-8-92_HANA _MM,OSP,Tay Soon Kiat (IFAP BE TS QM RQ 1),2022-12,PTA,No,MT22334J.09,READY,,,3,269136
"PTA for zero hour MM leg
Addtional request to provide 2 unit for cratering check.

To be shipped to FA SIN, attention to Dan Swee Tong (IFAP FE QM FA PI) +65 68664504.
Refer to zero hour JESD47 FA submission template. 
To use as reference for subsequent same lot stress readout PTA reports.",,,FA SIN_PTA,D_594193,CEL 9240 HF10 AK,PG-DSO-8-92,12/10/2022 12:00:00 AM,SPLIT,PC,M1957,Q22TSK70,ALP_NEPTUNE_ M1957_PG-DSO-8-92-MM leg,OSP,Tay Soon Kiat (IFAP BE TS QM RQ 1),2022-12,PTA,No,MT224517.05,PRELIM,,,3,267786
"TC1000c (HH) PTA  - ship to Dan Swee Tong 

EVI, csam : 20 units 

IVI (die & wire) : 3 units

cross section at ball bond (parallel with wire span) : 1 unit (inspect ball bond & measure BLT)

wire pull test : 8 units

ball shear test : 8 units

wedge pull test : 3 units

Reference report: SI22Y1-01720",,,FA SIN_PTA,HH,MC_CEL 9240 HF40M3,PG-TDSON-8-7,12/12/2022 12:00:00 AM,SPLIT,TC,L9199,Q22PP004_LAF058,ALP_SS08_SFET3/5_PG-TDSON-8_ATM,OSP,Too Pei Pei (IFAP BE TS QM RQ 2),2022-12,PTA,No,MT22446M.06,READY,30µm,BW_Au_4N_30_µm,3,272391
"Q006: PTA_FULL after 1x (TC1000x), 30 samples

Ship to Goh Jia Yi (IFAP FE QM FA PI) 
G-3000-37PB0179-00-0-00

** Take note -  Mold compound is G630AY

Refer to attachment for Q006-PTA  instruction in MT222317.10

** Please inform Goh Jia Yi / Ong Si Hui if SAT observed delam 

Refer to attachment ""FA Submission for JESD47 Ball Shear (MT222317.10)"" to provide Ball Shear/Area

PDR ball bond diameter for MT222317.10: 
Red M6453 C11HV-CTR ball - 80.3 um
Blue stitch on bump (C11HV chip) - 85.7 um
Yellow M6452 C11HV ball - 77.8 um
Green stitch on bump (Ag plating) - 90.1 um
",,,FA SIN_PTA,ZA221012H03,EME G630AY,PG-DSO-16-46,12/12/2022 12:00:00 AM,SPLIT,TC,U6451,Q22AW199_CYL086,Digital Isolator Q006 Qualification - HH,DSO_PD,Ang Winston (IFAP BE TS QM RQ 1),2022-12,PTA-Q006,No,MT222317.13,READY,,,3,264062
"Q006: PTA_FULL after 1x (HAST264h), 30 samples

Ship to Goh Jia Yi (IFAP FE QM FA PI) 
G-3000-37PB0179-00-0-00

** Take note -  Mold compound is G630AY

Refer to attachment for Q006-PTA  instruction in MT222316.10

** Please inform Goh Jia Yi / Ong Si Hui if SAT observed delam 

Refer to attachment ""FA Submission for JESD47 Ball Shear (MT222316.10)"" to provide Ball Shear/Area

PDR ball bond diameter for MT222316.10: 
Red M6453 C11HV-CTR ball - 78.0 um
Blue stitch on bump (C11HV chip) - 83.8 um
Yellow M6452 C11HV ball - 75.3 um
Green stitch on bump (Ag plating) - 87.3 um
",,,FA SIN_PTA,ZA222282H01-HE234,EME G630AY,PG-DSO-16-46,12/12/2022 12:00:00 AM,SPLIT,HAST,U6451,Q22AW198_CYL085,Digital Isolator Q006 Qualification - MM,DSO_PD,Ang Winston (IFAP BE TS QM RQ 1),2022-12,PTA-Q006,No,MT222316.06,READY,,,3,264059
,,,FA-SIN,ZA220208A17,MC_EME G700 H,PG-LQFP-176-20,12/12/2022 12:00:00 AM,SPLIT,PC,M1947,PM_22Q3_10166_SAK-TC1782N-320F180HR BA_MA003419838_M1947B package,,PLA_PM,Lebedev Dmitri (IFAG ATV QM MC P58),2022-12,IPI,No,SI222711.02,READY,25µm,BW_Cu_4N_25_µm,3,269944
"Q006: PTA_FULL after 1x (TC1000x), 30 samples

Ship to Goh Jia Yi (IFAP FE QM FA PI) 
G-3000-37PB0179-00-0-00

** Take note -  Mold compound is G630AY

Refer to attachment for Q006-PTA  instruction in MT222315.10

** Please inform Goh Jia Yi / Ong Si Hui if SAT observed delam 

Refer to attachment ""FA Submission for JESD47 Ball Shear (MT222315.10)"" to provide Ball Shear/Area

PDR ball bond diameter for MT222315.10: 
Red M6453 C11HV-CTR ball - 79.4 um
Blue stitch on bump (C11HV chip) - 83.4 um
Yellow M6452 C11HV ball - 74.3 um
Green stitch on bump (Ag plating) - 88.1 um
",,,FA SIN_PTA,ZA220355H10-HE236,EME G630AY,PG-DSO-16-46,12/12/2022 12:00:00 AM,SPLIT,TC,U6451,Q22AW197_CYL084,Digital Isolator Q006 Qualification - LL,DSO_PD,Ang Winston (IFAP BE TS QM RQ 1),2022-12,PTA-Q006,No,MT222315.13,READY,,,3,263695
"Q006: PTA_FULL after 1x (TC1000x), 30 samples

Ship to Goh Jia Yi (IFAP FE QM FA PI) 
G-3000-37PB0179-00-0-00

** Take note -  Mold compound is G630AY

Refer to attachment for Q006-PTA  instruction in MT222316.10

** Please inform Goh Jia Yi / Ong Si Hui if SAT observed delam 

Refer to attachment ""FA Submission for JESD47 Ball Shear (MT222316.10)"" to provide Ball Shear/Area

PDR ball bond diameter for MT222316.10: 
Red M6453 C11HV-CTR ball - 78.0 um
Blue stitch on bump (C11HV chip) - 83.8 um
Yellow M6452 C11HV ball - 75.3 um
Green stitch on bump (Ag plating) - 87.3 um",,,FA SIN_PTA,ZA222282H01-HE234,EME G630AY,PG-DSO-16-46,12/12/2022 12:00:00 AM,SPLIT,TC,U6451,Q22AW198_CYL085,Digital Isolator Q006 Qualification - MM,DSO_PD,Ang Winston (IFAP BE TS QM RQ 1),2022-12,PTA-Q006,No,MT222316.13,READY,,,3,264059
"HTSL500h-PTA

Please ship to Dan Swee Tong (IFAP FE QM FA PI)

EVI, X-ray, CSAM - 11 units. 
IVI Decap - 4 units.
Ball Pull - 4 units 
Ball Shear - 4 units
Stitch Pull - 4 units
Ball bond cross-sec - 1 unit
Stitch cross-sec - 1 unit from CSAM. 

ODR Ball diameter:
Please separate the raw data of the ground bond from the other wires.",,,FA SIN_PTA,1E234573B03,G700LS,PG-DSO-8-62,12/12/2022 12:00:00 AM,SPLIT,HTSL,S2710,Q22SY013_ATI353,AFP_S2710A_DOPL_Transfer_DSO8_ATP1,OSP,Chua Su Ya (IFAP BE TS QM RQ 3),2022-12,PTA-Q006,No,MT22445W.08,READY,,,3,269241
"PTA for zero hour HH leg
Addtional request to provide 2 unit for cratering check.

To be shipped to FA SIN, attention to Dan Swee Tong (IFAP FE QM FA PI) +65 68664504.
Refer to zero hour JESD47 FA submission template. 
To use as reference for subsequent same lot stress readout PTA reports.",,,FA SIN_PTA,D_602811,CEL 9240 HF10 AK,PG-DSO-8-92,12/12/2022 12:00:00 AM,SPLIT,PC,M1957,Q22TSK72,ALP_NEPTUNE_ M1957_PG-DSO-8-92-HH leg,OSP,Tay Soon Kiat (IFAP BE TS QM RQ 1),2022-12,PTA,No,MT224519.04,PRELIM,,,3,270988
"HTSL500h-Q006 PTA

Please ship to Dan Swee Tong (IFAP FE QM FA PI)

EVI, X-ray, CSAM - 11 units. 
IVI Decap - 4 units.
Ball Pull - 4 units 
Ball Shear - 4 units
Stitch Pull - 4 units
Ball bond cross-sec - 1 unit
Stitch cross-sec - 1 unit from CSAM. 
",,,FA SIN_PTA,1E234572B04,G700LS,PG-DSO-8-62,12/12/2022 12:00:00 AM,SPLIT,HTSL,S2710,Q22SY012_ATI352,AFP_S2710A_DOPL_Transfer_DSO8_ATP1,OSP,Chua Su Ya (IFAP BE TS QM RQ 3),2022-12,PTA-Q006,No,MT22445V.07,READY,,,3,269180
"PTA for zero hour LL leg
Addtional request to provide 2 unit for cratering check.

To be shipped to FA SIN, attention to Dan Swee Tong (IFAP FE QM FA PI) +65 68664504.
Refer to zero hour JESD47 FA submission template. 
To use as reference for subsequent same lot stress readout PTA reports.",,,FA SIN_PTA,D_602810,CEL 9240 HF10 AK,PG-DSO-8-92,12/12/2022 12:00:00 AM,SPLIT,PC,M1957,Q22TSK71,ALP_NEPTUNE_ M1957_PG-DSO-8-92-LL leg,OSP,Tay Soon Kiat (IFAP BE TS QM RQ 1),2022-12,PTA,No,MT224518.04,PRELIM,,,3,270987
"Q006: PTA_FULL after 1x (HAST264h), 30 samples

Ship to Goh Jia Yi (IFAP FE QM FA PI) 
G-3000-37PB0179-00-0-00

** Take note -  Mold compound is G630AY

Refer to attachment for Q006-PTA  instruction in MT222315.10

** Please inform Goh Jia Yi / Ong Si Hui if SAT observed delam 

Refer to attachment ""FA Submission for JESD47 Ball Shear (MT222315.10)"" to provide Ball Shear/Area

PDR ball bond diameter for MT222315.10: 
Red M6453 C11HV-CTR ball - 79.4 um
Blue stitch on bump (C11HV chip) - 83.4 um
Yellow M6452 C11HV ball - 74.3 um
Green stitch on bump (Ag plating) - 88.1 um",,,FA SIN_PTA,ZA220355H10-HE236,EME G630AY,PG-DSO-16-46,12/12/2022 12:00:00 AM,SPLIT,HAST,U6451,Q22AW197_CYL084,Digital Isolator Q006 Qualification - LL,DSO_PD,Ang Winston (IFAP BE TS QM RQ 1),2022-12,PTA-Q006,No,MT222315.06,READY,,,3,263695
"Q006: PTA_FULL after 1x (HAST264h), 30 samples

Ship to Goh Jia Yi (IFAP FE QM FA PI) 
G-3000-37PB0179-00-0-00

** Take note -  Mold compound is G630AY

Refer to attachment for Q006-PTA  instruction in MT222317.10

** Please inform Goh Jia Yi / Ong Si Hui if SAT observed delam 

Refer to attachment ""FA Submission for JESD47 Ball Shear (MT222317.10)"" to provide Ball Shear/Area

PDR ball bond diameter for MT222317.10: 
Red M6453 C11HV-CTR ball - 80.3 um
Blue stitch on bump (C11HV chip) - 85.7 um
Yellow M6452 C11HV ball - 77.8 um
Green stitch on bump (Ag plating) - 90.1 um
",,,FA SIN_PTA,ZA221012H03,EME G630AY,PG-DSO-16-46,12/12/2022 12:00:00 AM,SPLIT,HAST,U6451,Q22AW199_CYL086,Digital Isolator Q006 Qualification - HH,DSO_PD,Ang Winston (IFAP BE TS QM RQ 1),2022-12,PTA-Q006,No,MT222317.06,READY,,,3,264062
"PC-PTA

Refer to the Special PTA instructions attached under 0h PTA at MT222414.01

Ship to Goh Jia Yi (IFAP FE QM FA PI)",,,FA SIN_PTA,ZA203375BRS,EME G630AY,PG-DSO-8-66,12/13/2022 12:00:00 AM,SPLIT,PC,G2017,Q22CZQ009_KBL973,Innovation Project DA solution CAR 1:5,DSO_PD,Ching Zai Qin (IFAP BE TS QM RQ 1),2022-12,PTA,No,MT222414.10,READY,30µm,Cu,3,262815
,,,FA-SIN,84PFB325X01,MC_CEL 9240 HF10 AKI2U,PG-LQFP-176-22,12/13/2022 12:00:00 AM,END,HTSL,M4286,PM_22Q1_5917_SAK-TC265DC-40F200W BC_MA005565571_M4286_unlockT6,ASE ,OSA_PM,Hatsch Veronique (IFAG ATV QM MC P58),2022-12,IPI,No,SI22222D.05,READY,25µm,BW_AuPd/Cu_4N_25_µm,3,266779
"PC-PTA

Refer to the Special PTA instructions attached under 0h PTA at MT22401H.01

Ship to Goh Jia Yi (IFAP FE QM FA PI)",,,FA SIN_PTA,ZA203375BRW,EME G630AY,PG-DSO-8-66,12/13/2022 12:00:00 AM,SPLIT,PC,G2017,Q22CZQ012_KBL976,Innovation Project DA solution CAR 1:5,DSO_PD,Ching Zai Qin (IFAP BE TS QM RQ 1),2022-12,PTA,No,MT22401H.10,READY,30µm,Cu,3,274633
"PC-PTA

Refer to the Special PTA instructions attached under 0h PTA at MT222418.01

Ship to Goh Jia Yi (IFAP FE QM FA PI)",,,FA SIN_PTA,ZA203375BRT,EME G630AY,PG-DSO-8-66,12/13/2022 12:00:00 AM,SPLIT,PC,G2017,Q22CZQ010_KBL974,Innovation Project DA solution CAR 1:5,DSO_PD,Ching Zai Qin (IFAP BE TS QM RQ 1),2022-12,PTA,No,MT222418.10,READY,30µm,Cu,3,263899
"PC-PTA

Refer to the Special PTA instructions attached under 0h PTA at MT222417.01

Ship to Goh Jia Yi (IFAP FE QM FA PI)",,,FA SIN_PTA,ZA203375BRV,EME G630AY,PG-DSO-8-66,12/13/2022 12:00:00 AM,SPLIT,PC,G2017,Q22CZQ011_KBL975,Innovation Project DA solution CAR 1:5,DSO_PD,Ching Zai Qin (IFAP BE TS QM RQ 1),2022-12,PTA,No,MT222417.10,READY,30µm,Cu,3,263897
"TC2000 LL leg

To be shipped to FA SIN, attention to Dan Swee Tong (IFAP FE QM FA PI) +65 68664504.


From 1 pcs #146 observed delam after TC1000 LL leg with top, bottom lead delamination 
Action:
1)SAM check to compare the delam propagation as compare to TC1000 (SI23Y1-00184 )
2)Share the result before perform laser decap on bottom mold compound for Mech. Peel to check top lead pin 4 of any contamination using EDX and check top mold compound of suspected mold flake.

 ",,,FA SIN_PTA,BS186980H02_LL,CEL 9240 HF10 AK,PG-DSO-8-92,12/13/2022 12:00:00 AM,END,TC,M2919,Q22TSK61_LAF005,ALP_TH-X_M2919_PG-DSO-8-92_HANA _LL,OSP,Tay Soon Kiat (IFAP BE TS QM RQ 1),2022-12,PTA,No,MT22359N.26,READY,,,3,270300
"Initial IPI according attached IPI Guideline.
""IPI 1""
",,,FA-SIN,D_498115,N/A,PG-F2HBGA-436-1,12/14/2022 12:00:00 AM,END,TST,TC436,Q21BR01_ABR071,Qual-Lots,PT_OSA,Bauer Robert Stefan (IFAG QM RQ PM),2022-12,IPI,No,SI22481O.77,APPLY,,,3,235721
,,,FA-SIN,6Q147009H04,MC_EME G750 SE,PG-LFBGA-292-12,12/14/2022 12:00:00 AM,SPLIT,PTC,M3990,C40_Fab1_TC397L_ADAS_Q100-006_Lot2,C40FLA Fab1 enabling,58,Lebedev Dmitri (IFAG ATV QM MC P58),2022-12,IPI-Q006,No,RQ220936.14,READY,20µm,BW_Pd/Cu_4N_20_µm,3,259192
"IPI after 0h
IPI tasks according to attached guideline, product qualification",,,FA-SIN,D_468915,,PG-F2HBGA-292-5,12/14/2022 12:00:00 AM,END,TST,M4749,TC49x_A_Step_F2HBGA292_COM_Qualification_Package,,58,Thajudin Ahmed Fazir (IFAG ATV QM MC P58),2022-12,IPI,No,,PRELIM,,,3,225988
,,,FA-SIN,6Q207004H02,MC_EME G750 SE,PG-LFBGA-180-1,12/15/2022 12:00:00 AM,END,THB,M3995,C40_Fab1_TC356L_ADAS_Q100-006_Lot2,C40FLA Fab1 enabling,58,Lebedev Dmitri (IFAG ATV QM MC P58),2022-12,IPI-Q006,No,SI222211.08,READY,20µm,BW_Pd/Cu_4N_20_µm,3,262449
pull-test on 2 pass samples after HTS 1000h,,,FA-SIN,3FT7K174H02,MC_EME G750 SE,PG-LFBGA-292-12,12/16/2022 12:00:00 AM,SPLIT,HTSL,M3990,CST3 N28 W/B PureHTS_AluPad_EX1P,,58_PRM,Thajudin Ahmed Fazir (IFAG ATV QM MC P58),2022-12,IPI,No,,NEW,20µm,BW_CuPd_4N_20_µm,3,274908
"PTA for TC2500c MM leg(robustness check)
 
To be shipped to FA SIN, attention to Dan Swee Tong (IFAP FE QM FA PI) +65 68664504.
Refer to zero hour FA submission template.
To use as reference for subsequent same lot stress readout PTA reports.",,,FA SIN_PTA,BS186980H03_MM,CEL 9240 HF10 AK,PG-DSO-8-92,12/16/2022 12:00:00 AM,SPLIT,TC,M2919,Q22TSK60_LAF004,ALP_TH-X_M2919_PG-DSO-8-92_HANA _MM,OSP,Tay Soon Kiat (IFAP BE TS QM RQ 1),2022-12,PTA,No,MT22334J.17,READY,,,3,269136
"IPI after 0h
IPI tasks according to attached guideline, package technology qualification",,,FA-SIN,D_469574,,PG-F2BGA-436-2,12/16/2022 12:00:00 AM,END,TST,M4749,TC49x_A_Step_F2BGA436_STD_OVM_Qualification_Package,,58,Thajudin Ahmed Fazir (IFAG ATV QM MC P58),2022-12,IPI,No,,PRELIM,,,3,226197
pull-test on 2 pass samples after HTS 1000h,,,FA-SIN,3FT7K174H03,MC_EME G750 SE,PG-LFBGA-292-12,12/16/2022 12:00:00 AM,SPLIT,HTSL,M3990,CST3 N28 W/B PureHTS_AluPad_EX1P+,,58_PRM,Zaki Mohanad (IFAG ATV QM MC P58),2022-12,IPI,No,,NEW,20µm,BW_CuPd_4N_20_µm,3,276083
PTA POST H3TRB 1000H,,,FA SIN_PTA,VE125713.06,MC_KMC 2120 G-7A,PG-SOT223-4-21,12/16/2022 12:00:00 AM,SPLIT,H3TRB,L9075,Q22ZY301_LAF019,ALP_SOT223_Auto_TFME,OSP,Zhu Ye (IFAP BE TS QM RQ 1),2022-12,PTA-Q006,No,MT223597.09,READY,42µm,PCC,3,272438
"Uhast 192hr
External optical and visual inspection on leads hence NO decapping is required

Pls send report to Venkatesan Sriram (IFAG ATV QM MC P58) <Sriram.Venkatesan@infineon.com>",,,FA-SIN,192050845UQ,CEL 9240 HF10 AKI2-U,PG-TQFP-144-27,12/16/2022 12:00:00 AM,END,UHST,M3994,C40_TC364_TQFP-144_uHAST_monitoring_RPT_SIN_1,,58_PRM,Heine Stefanie (IFAG ATV QM MC P58),2022-12,IPI,No,SI22451C.68,READY,25µm,BW_Cu_4N_25_µm,3,272063
